STATION,NAME,DATE,TMAX,TMIN
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/7/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/8/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/9/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/10/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/11/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/12/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/13/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/14/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/15/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/16/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/17/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/18/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/19/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/20/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/21/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/22/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/23/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/25/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/26/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/27/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/28/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/29/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",11/30/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",12/1/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",12/2/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",12/3/2009,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/4/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/5/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/6/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/7/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/8/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/9/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/10/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/11/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/12/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/13/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/14/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/15/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/16/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/17/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/18/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/19/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/20/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/21/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/22/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/23/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/24/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/25/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/26/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/27/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/28/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/29/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/30/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",3/31/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/1/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/2/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/3/2010,,
US1MIOW0026,"GRAND HAVEN 4.2 S, MI US",4/4/2010,,
